paper,rules_proposed,rules_accepted,notes
Ioannidis_2005_WhyMostPublishedResearch,2,2,accepted reviewed v2 corpus rule and retained companion as covered by same predicate pattern
Begley_2012_DrugDevelopmentRaiseStandards,2,2,accepted reviewed v2 corpus rule and retained companion as covered by same predicate pattern
Aarts_2015_EstimatingReproducibilityPsychologicalScience,2,2,accepted reviewed v2 corpus rule and retained companion as covered by same predicate pattern
Errington_2021_InvestigatingReplicabilityPreclinicalCancer,2,2,accepted reviewed v2 corpus rule and retained companion as covered by same predicate pattern
Camerer_2016_EvaluatingReplicabilityLaboratoryExperiments,2,2,accepted reviewed v2 corpus rule and retained companion as covered by same predicate pattern
Camerer_2018_EvaluatingReplicabilitySocialScience,2,2,accepted reviewed v2 corpus rule and retained companion as covered by same predicate pattern
Klein_2018_ManyLabs2Investigating,2,2,accepted reviewed v2 corpus rule and retained companion as covered by same predicate pattern
Border_2019_NoSupportHistoricalCandidate,2,2,accepted reviewed v2 corpus rule and retained companion as covered by same predicate pattern
Horowitz_2021_EpiPen,2,2,accepted reviewed v2 corpus rule and retained companion as covered by same predicate pattern
Yang_2020_EstimatingDeepReplicabilityScientific,2,2,accepted reviewed v2 corpus rule and retained companion as covered by same predicate pattern
Gordon_2021_PredictingReplicability—AnalysisSurveyPrediction,2,2,accepted reviewed v2 corpus rule and retained companion as covered by same predicate pattern
Dreber_2015_PredictionMarketsEstimateReproducibility,2,2,accepted reviewed v2 corpus rule and retained companion as covered by same predicate pattern
Altmejd_2019_PredictingReplicabilitySocialScience,2,2,accepted reviewed v2 corpus rule and retained companion as covered by same predicate pattern
