field_name,declaring_file,declaration_kind,nullability,default,check,fk,enum_coercion,required,current_role,owner_category,target_owner_file,target_descriptor,deletion_proof,pinned_tests,metric_id,baseline_count,target_count,quire_dependency_id,sidecar_disposition,slice_id,status
source,propstore/app/claim_views.py,sql_literal,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,provenance,typed-query-api,propstore/families/claims/declaration.py,claim,table_name_mentions_outside_sidecar: 544 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,table_name_mentions_outside_sidecar,544,0,QD-005,,claims,complete
concept,propstore/app/claim_views.py,sql_literal,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,typed-query-api,propstore/families/concepts/declaration.py,concept,table_name_mentions_outside_sidecar: 544 -> 0,tests/test_concept_views.py; tests/test_sidecar_concept_projection.py; tests/test_sidecar_projection_fts_contract.py,table_name_mentions_outside_sidecar,544,0,QD-005,,concepts,complete
form,propstore/app/claim_views.py,sql_literal,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,typed-query-api,propstore/families/claims/declaration.py,claim,table_name_mentions_outside_sidecar: 544 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,table_name_mentions_outside_sidecar,544,0,QD-005,,claims,complete
ClaimViewRequest,propstore/app/claim_views.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimListRequest,propstore/app/claim_views.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimSearchRequest,propstore/app/claim_views.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimViewReport,propstore/app/claim_views.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimSummaryReport,propstore/app/claim_views.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
concept,propstore/app/claims.py,sql_literal,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,typed-query-api,propstore/families/concepts/declaration.py,concept,table_name_mentions_outside_sidecar: 544 -> 0,tests/test_concept_views.py; tests/test_sidecar_concept_projection.py; tests/test_sidecar_projection_fts_contract.py,table_name_mentions_outside_sidecar,544,0,QD-005,,concepts,complete
context,propstore/app/claims.py,sql_literal,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,payload_text,typed-query-api,propstore/families/claims/declaration.py,claim,table_name_mentions_outside_sidecar: 544 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,table_name_mentions_outside_sidecar,544,0,QD-005,,claims,complete
embedding_model,propstore/app/claims.py,sql_literal,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,typed-query-api,propstore/families/claims/declaration.py,claim,table_name_mentions_outside_sidecar: 544 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,table_name_mentions_outside_sidecar,544,0,QD-005,,claims,complete
ClaimCompareRequest,propstore/app/claims.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimCompareReport,propstore/app/claims.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimValidationRequest,propstore/app/claims.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimValidateFileRequest,propstore/app/claims.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimValidationReport,propstore/app/claims.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimConflictsRequest,propstore/app/claims.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimConflictLine,propstore/app/claims.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimConflictsReport,propstore/app/claims.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimEmbedRequest,propstore/app/claims.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimEmbedModelReport,propstore/app/claims.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimEmbedReport,propstore/app/claims.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimSimilarRequest,propstore/app/claims.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimSimilarReport,propstore/app/claims.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimRelateRequest,propstore/app/claims.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
ClaimRelateReport,propstore/app/claims.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/claims/declaration.py,claim,class_surfaces_app_world: 228 -> 0,tests/test_claim_views.py; tests/test_sidecar_projection_contract.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,claims,not-needed
alias,propstore/app/compiler.py,sql_literal,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,typed-query-api,propstore/families/_generated/catalog.py,catalog,table_name_mentions_outside_sidecar: 544 -> 0,tests/test_world_query.py; tests/test_world_layer_boundary.py,table_name_mentions_outside_sidecar,544,0,QD-005,,world,complete
SidecarQueryRequest,propstore/app/compiler.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/_generated/catalog.py,catalog,class_surfaces_app_world: 228 -> 0,tests/test_world_query.py; tests/test_world_layer_boundary.py,class_surfaces_app_world,228,0,,,world,not-needed
AliasExportRequest,propstore/app/compiler.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/_generated/catalog.py,catalog,class_surfaces_app_world: 228 -> 0,tests/test_world_query.py; tests/test_world_layer_boundary.py,class_surfaces_app_world,228,0,,,world,not-needed
source,propstore/app/concept_views.py,sql_literal,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,provenance,typed-query-api,propstore/families/concepts/declaration.py,concept,table_name_mentions_outside_sidecar: 544 -> 0,tests/test_concept_views.py; tests/test_sidecar_concept_projection.py; tests/test_sidecar_projection_fts_contract.py,table_name_mentions_outside_sidecar,544,0,QD-005,,concepts,complete
concept,propstore/app/concept_views.py,sql_literal,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,typed-query-api,propstore/families/concepts/declaration.py,concept,table_name_mentions_outside_sidecar: 544 -> 0,tests/test_concept_views.py; tests/test_sidecar_concept_projection.py; tests/test_sidecar_projection_fts_contract.py,table_name_mentions_outside_sidecar,544,0,QD-005,,concepts,complete
form,propstore/app/concept_views.py,sql_literal,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,typed-query-api,propstore/families/concepts/declaration.py,concept,table_name_mentions_outside_sidecar: 544 -> 0,tests/test_concept_views.py; tests/test_sidecar_concept_projection.py; tests/test_sidecar_projection_fts_contract.py,table_name_mentions_outside_sidecar,544,0,QD-005,,concepts,complete
ConceptViewRequest,propstore/app/concept_views.py,app_request_report_shape,ledger-required,ledger-required,ledger-required,,ledger-required,ledger-required,context,presentation-adapter,propstore/families/concepts/declaration.py,concept,class_surfaces_app_world: 228 -> 0,tests/test_concept_views.py; tests/test_sidecar_concept_projection.py; tests/test_sidecar_projection_fts_contract.py,class_surfaces_app_world,228,0,,,concepts,not-needed
